country,Fiscal_Risk_Score,country_name
EL,0.8233690250051628,Greece
IE,0.67716931361089,Ireland
ES,0.5524134201165469,Spain
IT,0.5243659432909465,Italy
PT,0.47232990041866196,Portugal
BE,0.4478319885394544,Belgium
CY,0.4193996947089149,Cyprus
FR,0.4136464221138875,France
MT,0.4040853871677616,Malta
HU,0.37392182530133045,Hungary
AT,0.3570995226777335,Austria
RO,0.35651177749937235,Romania
HR,0.35291803760357604,Croatia
SK,0.344206913750536,Slovakia
SI,0.3232568629672634,Slovenia
LV,0.3205939994173391,Latvia
LT,0.2960531496652616,Lithuania
FI,0.2875445174849258,Finland
PL,0.2759326330778974,Poland
DE,0.27062191203080704,Germany
CZ,0.24436971777803884,Czechia
NL,0.24266907048480837,Netherlands
BG,0.1999734305308985,Bulgaria
EE,0.14323866507432537,Estonia
SE,0.1409898909811737,Sweden
DK,0.1376195667263791,Denmark
LU,0.059027295623434575,Luxembourg
