year,country,Debt_to_GDP,Deficit_to_GDP,Debt_Growth,GDP,Debt,Deficit,cluster
1996,AT,67.31940483444289,-4.5736667152473665,-0.05469258376548103,185944.9,125177.0,-8504.5,1
1997,AT,63.54549977797157,-2.622396516026173,-5.114517842734689,186913.0,118774.8,-4901.6,0
1998,AT,64.78581015132477,-2.753792142290346,5.788601622566403,193947.1,125650.2,-5340.9,1
1999,AT,67.08008129420693,-2.6317694490776105,8.408979850410114,203064.9,136216.1,-5344.2,1
2000,AT,66.63779125715374,-2.4064201334420554,3.9107711937135248,212406.8,141543.2,-5111.4,1
2001,AT,67.23812788520755,-0.7126209069198486,4.21023404868619,219373.3,147502.5,-1563.3,0
2002,AT,67.4403199816605,-1.425265418532049,2.9135099405094733,225087.9,151800.0,-3208.1,0
2003,AT,66.4117455438686,-1.8388414427052089,0.8609354413702253,230541.9,153106.9,-4239.3,0
2004,AT,65.91193959301027,-4.941346968114052,3.552289282847476,240541.7,158545.7,-11886.0,1
2005,AT,69.42757996773592,-2.5884973899852946,10.506875935455827,252354.9,175203.9,-6532.2,1
2006,AT,68.1765417470595,-2.6085073084005526,3.481943038939206,265933.7,181304.4,-6936.9,1
2007,AT,65.81311244676802,-1.369591670263302,2.4409777148265643,282208.2,185730.0,-3865.1,0
2008,AT,69.52795684850445,-1.5715811958490467,9.252517094707379,291846.2,202914.7,-4586.6,0
2009,AT,80.7522231316071,-5.380961812472732,13.926048728850105,286274.1,231172.7,-15404.3,1
2010,AT,83.65410578995588,-4.4643676972602675,6.407633773365107,294050.6,245985.4,-13127.5,1
2011,AT,83.3560699231261,-2.4816414476566275,4.427295278500276,308167.0,256875.9,-7647.6,1
2012,AT,82.93562576637122,-2.176920642320937,2.2148827507757707,316589.4,262565.4,-6891.9,1
2013,AT,82.43083491883507,-1.9924861072063818,0.8362107116931528,321191.7,264761.0,-6399.7,1
2014,AT,85.20984449287896,-1.9235202437949372,6.242686800548425,330113.5,281289.2,-6349.8,1
2015,AT,85.61468179552654,-0.47690110747814496,4.118359325562437,342083.5,292873.7,-1631.4,1
2016,AT,83.41911615854893,-1.4514195356537152,1.3041116358348148,355665.6,296693.1,-5162.2,1
2017,AT,79.0571282095123,-0.7757526717632072,-2.130248394721679,367294.9,290372.8,-2849.3,1
2018,AT,74.58627789840314,0.19518085933331125,-1.56095887769101,383234.3,285840.2,748.0,0
2019,AT,71.00593166455567,0.5364072591120497,-1.7019649440491613,395706.8,280975.3,2122.6,0
2020,AT,83.18298980931478,-8.204373236179523,12.593455723688173,380317.9,316359.8,-31202.7,1
2021,AT,82.3989769380267,-5.693502350260873,5.806932486365213,406231.5,334730.6,-23128.8,1
2022,AT,78.14067846924065,-3.4103264437265204,4.905347763246026,449382.2,351150.3,-15325.4,1
2023,AT,77.75449928249637,-2.590316829598694,5.806544946708003,477837.3,371540.0,-12377.5,1
2024,AT,79.90317911236794,-4.676458182719016,6.258195618237616,494087.6,394791.7,-23105.8,1
1996,BE,126.61306124193226,-4.002040321814396,-3.4702622478875567,219965.3,278504.8,-8803.1,1
1997,BE,123.61384675879366,-2.1512540537777642,-1.0073435000043096,223032.7,275699.3,-4798.0,1
1998,BE,120.16378107635109,-1.0248654095803877,0.6883949288228219,231015.7,277597.2,-2367.6,1
1999,BE,115.4028185661531,-0.6482669136254909,0.7322119963745877,242307.6,279629.8,-1570.8,1
2000,BE,109.74754306558638,-0.07953150133943686,0.6211784294806844,256376.4,281366.8,-203.9,1
2001,BE,108.47769250295742,0.23307554167081226,1.9112418380562435,264334.9,286744.4,616.1,1
2002,BE,105.57473781901872,-0.043658709656406315,0.6084861639843675,273255.9,288489.2,-119.3,1
2003,BE,101.84164164890353,-1.8641878633087745,-0.7315005206434022,281200.2,286378.9,-5242.1,1
2004,BE,97.2111015542432,-0.23883185651087174,0.7552232374661738,296819.7,288541.7,-708.9,1
2005,BE,95.24167391309958,-2.7150900406918383,2.337027888863208,310037.6,295285.0,-8417.8,1
2006,BE,91.52352057425537,0.23958062626191176,0.7806356570770445,325151.5,297590.1,779.0,1
2007,BE,87.4804325373255,0.0662652723700588,1.01118955234063,343618.9,300599.3,227.7,1
2008,BE,93.17103874958742,-1.0953448695937462,9.023108170910588,351743.1,327722.7,-3852.8,1
2009,BE,99.88008106175134,-5.447684428569004,5.97920131867582,347734.9,347317.9,-18943.5,1
2010,BE,100.30560859635328,-4.133217928303524,4.904613323989349,363242.4,364352.5,-15013.6,1
