freq,unit,sector,na_item,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_EUR,S1,B1GQ,AT	183629.2 	185944.9 	186913.0 	193947.1 	203064.9 	212406.8 	219373.3 	225087.9 	230541.9 	240541.7 	252354.9 	265933.7 	282208.2 	291846.2 	286274.1 	294050.6 	308167.0 	316589.4 	321191.7 	330113.5 	342083.5 	355665.6 	367294.9 	383234.3 	395706.8 	380317.9 	406231.5 	449382.2 	477837.3 	494087.6 
A,MIO_EUR,S1,B1GQ,BE	220251.5 	219965.3 	223032.7 	231015.7 	242307.6 	256376.4 	264334.9 	273255.9 	281200.2 	296819.7 	310037.6 	325151.5 	343618.9 	351743.1 	347734.9 	363242.4 	378745.4 	387934.9 	394616.3 	404958.3 	415538.0 	428467.1 	443407.2 	459491.8 	479444.9 	463750.9 	506047.2 	561309.1 	602376.3 	620271.8 
A,MIO_EUR,S1,B1GQ,BG	14512.8 	9829.8 	10064.7 	13437.6 	12804.4 	14440.0 	15905.3 	17478.3 	18798.3 	21093.2 	24039.9 	27410.0 	32464.7 	37246.7 	37417.7 	38290.0 	41479.9 	42255.3 	42056.2 	43024.7 	45797.8 	48752.1 	52501.8 	56000.6 	61195.4 	61856.5 	71345.0 	86079.5 	94526.6 	104768.8 
A,MIO_EUR,S1,B1GQ,CY	7596.0 	7890.1 	8414.3 	9152.6 	9839.7 	10804.6 	11602.9 	12083.0 	12871.3 	13938.0 	15039.3 	16263.8 	17591.0 	19009.5 	18675.5 	19461.1 	19858.1 	19495.4 	18040.3 	17482.8 	17944.2 	19013.8 	20312.4 	21807.8 	23400.9 	22373.6 	25679.9 	29645.4 	32439.2 	34770.2 
A,MIO_EUR,S1,B1GQ,CZ	46333.6 	53416.0 	55174.6 	60164.9 	61470.4 	67409.2 	76070.6 	87795.9 	88965.6 	96822.8 	110418.8 	124559.0 	138897.5 	161852.2 	149253.1 	159506.1 	166545.5 	163759.4 	160470.0 	158991.5 	170527.3 	179145.9 	196738.7 	213505.4 	229406.7 	220310.6 	246012.3 	286976.8 	319099.1 	320741.7 
A,MIO_EUR,S1,B1GQ,DE	1983157.1 	1975310.2 	1958620.9 	2008653.2 	2077240.0 	2129660.0 	2195530.0 	2223360.0 	2240810.0 	2293040.0 	2325710.0 	2426180.0 	2542220.0 	2589280.0 	2493970.0 	2615260.0 	2746910.0 	2799280.0 	2866480.0 	2984470.0 	3087030.0 	3195210.0 	3333110.0 	3434030.0 	3537280.0 	3450720.0 	3682340.0 	3989390.0 	4219310.0 	4328970.0 
A,MIO_EUR,S1,B1GQ,DK	141320.3 	147724.2 	152890.7 	158043.8 	166899.3 	177893.6 	184146.4 	189957.5 	193641.7 	202915.9 	213381.9 	225930.9 	233960.2 	242720.1 	232270.0 	243430.0 	248105.0 	254300.7 	259530.8 	265635.7 	272193.0 	282265.1 	294355.0 	301017.3 	308546.2 	312118.3 	343318.7 	380567.5 	374173.6 	392400.8 
A,MIO_EUR,S1,B1GQ,EA19	5744017.7 	5987410.6 	6132691.6 	6381158.0 	6682072.0 	7036943.4 	7368518.7 	7619736.9 	7844564.4 	8180124.4 	8482932.5 	8940638.8 	9436179.8 	9671413.4 	9335494.9 	9599072.9 	9875054.1 	9906383.6 	10012297.4 	10254052.0 	10616222.8 	10904868.1 	11318040.8 	11694024.5 	12084516.3 	11565084.9 	12560309.5 	13690316.9 	14584465.8 	15145409.3 
A,MIO_EUR,S1,B1GQ,EA20	5761537.8 	6006587.4 	6153972.0 	6404094.1 	6704260.9 	7060574.8 	7394455.3 	7648497.7 	7875580.7 	8213927.2 	8519767.4 	8981259.8 	9480602.8 	9719969.9 	9381356.2 	9645056.6 	9920813.0 	9951251.3 	10057096.7 	10298332.8 	10661710.3 	10952441.6 	11368245.0 	11747059.8 	12140284.1 	11615802.6 	12618699.8 	13757926.3 	14663652.1 	15231314.5 
A,MIO_EUR,S1,B1GQ,EE	2988.1 	3770.0 	4553.7 	5067.5 	5406.9 	6171.6 	6982.1 	7824.9 	8746.7 	9779.6 	11345.4 	13571.2 	16402.2 	16618.9 	14132.5 	14741.8 	16741.9 	18086.6 	19163.2 	20365.6 	21010.9 	22189.0 	24316.1 	26438.5 	28472.1 	27859.3 	31453.3 	36300.9 	38353.4 	39847.7 
A,MIO_EUR,S1,B1GQ,EL	103206.2 	112262.1 	122477.5 	124754.2 	134588.7 	137827.5 	147439.0 	158902.0 	174096.0 	188905.0 	194773.0 	214299.0 	229283.0 	238735.0 	234323.0 	223590.0 	203475.0 	185899.0 	178114.0 	176072.0 	175363.0 	174448.0 	177378.0 	180616.0 	185181.0 	167540.0 	184575.0 	207009.0 	224686.0 	236736.0 
A,MIO_EUR,S1,B1GQ,ES	469819.9 	506096.6 	520533.1 	552906.7 	595242.0 	647569.0 	700958.0 	749744.0 	802683.0 	860059.0 	928122.0 	1004976.0 	1077541.0 	1112432.0 	1072990.0 	1077145.0 	1068690.0 	1035964.0 	1025652.0 	1038949.0 	1087112.0 	1122967.0 	1170024.0 	1212276.0 	1253710.0 	1129214.0 	1235474.0 	1375863.0 	1497761.0 	1594330.0 
A,MIO_EUR,S1,B1GQ,EU27_2020	6341264.2 	6640111.7 	6823242.6 	7113360.3 	7442817.8 	7884970.3 	8260285.3 	8559613.3 	8792709.4 	9195744.5 	9600083.4 	10160793.9 	10788346.6 	11136839.8 	10650843.9 	11047423.0 	11407286.8 	11466415.8 	11594282.9 	11867203.1 	12308194.4 	12638272.7 	13169371.6 	13628647.9 	14122773.4 	13578816.5 	14792289.2 	16169776.4 	17257316.4 	18015434.4 
A,MIO_EUR,S1,B1GQ,FI	102544.7 	104034.1 	111990.0 	119690.6 	126888.0 	136386.0 	144613.0 	148440.0 	151714.0 	158741.0 	164666.0 	172861.0 	187059.0 	194253.0 	181735.0 	188147.0 	197655.0 	200378.0 	203497.0 	205855.0 	210192.0 	215717.0 	224706.0 	231905.0 	238518.0 	236387.0 	248764.0 	266135.0 	272848.0 	275963.0 
A,MIO_EUR,S1,B1GQ,FR	1220222.5 	1259759.1 	1279326.8 	1337784.3 	1395148.0 	1473517.0 	1530071.0 	1578330.0 	1622313.0 	1696108.0 	1762048.0 	1846021.0 	1937876.0 	1990000.0 	1935840.0 	1996075.0 	2062141.0 	2088287.0 	2120352.0 	2153733.0 	2201402.0 	2231819.0 	2291681.0 	2355363.0 	2432207.0 	2318276.0 	2508102.0 	2653997.0 	2826542.0 	2919900.0 
A,MIO_EUR,S1,B1GQ,HR	17520.1 	19176.8 	21280.4 	22936.1 	22188.9 	23631.3 	25936.5 	28760.9 	31016.3 	33802.7 	36834.9 	40621.0 	44423.0 	48556.5 	45861.3 	45983.8 	45758.9 	44867.7 	44799.3 	44280.7 	45487.5 	47573.5 	50204.3 	53035.3 	55767.8 	50717.8 	58390.4 	67609.4 	79186.3 	85905.2 
A,MIO_EUR,S1,B1GQ,HU	35585.4 	36896.3 	41831.0 	43477.8 	46121.5 	51300.9 	60068.8 	71785.3 	75344.2 	83798.3 	90999.5 	92037.9 	102368.2 	108278.8 	94416.6 	99562.8 	101986.9 	99979.9 	102210.9 	106335.3 	112854.0 	116593.5 	127222.5 	136580.0 	147373.2 	138954.5 	154971.7 	168546.1 	197178.6 	206040.1 
A,MIO_EUR,S1,B1GQ,IE	52881.3 	59701.5 	73118.8 	80565.7 	92790.5 	108495.3 	122089.2 	135997.9 	145576.9 	156260.0 	170306.8 	184916.2 	197069.4 	187283.0 	169519.7 	167255.1 	173120.4 	176621.9 	182908.6 	200594.9 	272282.9 	275933.1 	308366.0 	335136.0 	363752.6 	381728.7 	448445.1 	520718.4 	524728.8 	562794.2 
A,MIO_EUR,S1,B1GQ,IT	900369.6 	1035611.2 	1099046.2 	1136926.3 	1177549.7 	1244744.2 	1308623.1 	1355522.3 	1399386.0 	1457356.2 	1499073.1 	1559864.2 	1621714.5 	1643718.8 	1584106.8 	1617944.7 	1657362.2 	1632898.5 	1621260.7 	1635870.7 	1663277.7 	1704856.7 	1744493.0 	1777744.4 	1804066.8 	1670011.9 	1842507.4 	1998072.6 	2142601.7 	2199619.4 
